BioSample Accession	Isolate Name
SAMN05221927	20154358
SAMN05221928	20154359
SAMN05221929	20154360
SAMN05221930	20154361
SAMN05221931	20154362
SAMN05221932	20154363
SAMN05221933	20154364
SAMN05221934	20154365
SAMN05221935	20154366
SAMN05221936	20154367
SAMN05221937	20154368
SAMN05221938	20154369
SAMN05221939	20154370
SAMN05221940	20154371
SAMN05221941	20154372
SAMN05221942	20154373
SAMN05221943	20154374
SAMN05221944	20154437
SAMN05221945	20154438
SAMN05221946	20154441
SAMN05221947	20154442
SAMN05221948	20154443
SAMN05221949	20154444
SAMN05221950	20154446
SAMN05221951	20154447
SAMN05221952	20154448
SAMN05221953	20154449
SAMN05221954	20154450
SAMN05221955	20154451
SAMN05221956	20154452
SAMN05221957	20154453
SAMN05221958	20154454
SAMN05221959	20154455
SAMN05221960	20154456
SAMN05221961	20154457
SAMN05221962	20154458
SAMN05221963	20154459
SAMN05221964	20154460
SAMN05221965	20154461
SAMN05221966	20154462
SAMN05221967	20154463
SAMN05221968	20154464
SAMN05221969	20154465
SAMN05221970	20154466
SAMN05221971	20154467
SAMN05221972	20154468
SAMN05221973	20154469
SAMN05221974	20154470
SAMN05221975	20154471
SAMN05221976	20154472
SAMN05221977	20154473
SAMN05221978	20154474
SAMN05221979	20154475
SAMN05221980	20154476
SAMN05221981	20154477
SAMN05221982	20154478
SAMN05221983	20154480
SAMN05221984	20154481
SAMN05221985	20154482
SAMN05221986	20154483
SAMN05221987	20154484
SAMN05221988	20154485
SAMN05221989	20154486
SAMN05221990	20154487
SAMN05221991	20154488
SAMN05221992	20154489
SAMN05221993	20154490
SAMN05221994	20154491
SAMN05221995	20154492
SAMN05221996	20154493
SAMN05221997	20154494
SAMN05221998	20154495
SAMN05221999	20154496
SAMN05222000	20154497
SAMN05222001	20154498
SAMN05222002	20154499
SAMN05222003	20154500
SAMN05222004	20154501
SAMN05222005	20154502
SAMN05222006	20154503
SAMN05222007	20154504
SAMN05222008	20154506
SAMN05222009	20154507
SAMN05222010	20154508
SAMN05222011	20154509
SAMN05222012	20154510
SAMN05222013	20154511
SAMN05222014	20154512
SAMN05222015	20154513
SAMN05222016	20154514
SAMN05222017	20154515
SAMN05222018	20154516
SAMN05222019	20154517
SAMN05222020	20154518
SAMN05222021	20154519
SAMN05222022	20154520
SAMN05222023	20154521
SAMN05222024	20154522
SAMN05222025	20154523
SAMN05222026	20154524
SAMN05222027	20154568
SAMN05222028	20154569
SAMN05222029	20154570
SAMN05222030	20154571
SAMN05222031	20154572
SAMN05222032	20154573
SAMN05222033	20154574
SAMN05222034	20154575
SAMN05222035	20154576
SAMN05222036	20154577
SAMN05222037	20154578
SAMN05222038	20154579
SAMN05222039	20154580
SAMN05222040	20154581
SAMN05222041	20154582
SAMN05222042	20154583
SAMN05222043	20154584
SAMN05222044	20154585
SAMN05222045	20154586
SAMN05222046	20154587
SAMN05222047	20154588
SAMN05222048	20154589
SAMN05222049	20154663
SAMN05222050	20154664
SAMN05222051	20154665
SAMN05222052	20154666
SAMN05222053	20154667
SAMN05222054	20154668
SAMN05222055	20154669
SAMN05222056	20154670
SAMN05222057	20154671
SAMN05222058	20154672
SAMN05222059	20154673
SAMN05222060	20154674
SAMN05222061	20154675
SAMN05222062	20154692
SAMN05222063	20154698
SAMN05222064	20154699
SAMN05222065	20154700
SAMN05222066	20154701
SAMN05222067	20154702
SAMN05222068	20154703
SAMN05222069	20154704
SAMN05222070	20154705
SAMN05222071	20154706
SAMN05222072	20154707
SAMN05222073	20154708
